Comment,Lang,Tags confirmed,Model function,Tags
"G 63 ans mon revenu 13000.00 respecte les règlements. Fait tout livrer 25.00 semaine augmentation des danree. G besoin d'un soutient financier dapuis soutenir moi merci
",FR,checked,Business,Feedback unclear
"Je suis sur l'AE pour maladie, dans ma déclaration on me demande de fournir papier du médecin.  Je ne trouve pas où je dois le faire.",FR,checked,Business,EI and internet reporting
"im on canada pension, and welfare with a disability and i dont see any help for people like me",EN,checked,Business,Disabilities allowance
How much does it is cost?,EN,checked,Business,Feedback unclear
Quel jour on peut soumettre la demande pour aout je suis nee en avril,FR,checked,Business,CERB
where is the info on wage top up for frontline health care workers?,EN,checked,Business,Essential services and frontline workers
"i wan t  he phone number for covid relief
",EN,checked,Business,Contact someone / get address
I was laid off in March due to COVID and have been collecting EI rather than the CERB.  My place of employment where I was laid off from does not look like I will be returning until the new year.  What happens when my EI runs out? Should I have been collecting the CERB rather than using my EI?,EN,checked,Business,EI and internet reporting
"an employee has tested positive  for Covid-19. We have notified all other employees who might have been in contact to go and be tested. Can the business remain operational?
if employees test negative can they return to work immediately?",EN,checked,Business,Workplace safety (sanitizing / exposure to virus / employee with covid / accommodations)
stop  taxing seniors. the Old Age Security,EN,checked,Business,Seniors (including OAS / GIS / CPP)
looking for the Date that CPPD 600.00 covid will be issued.,EN,checked,Business,Disabilities allowance
The seniors one-time payment of $300 when can I expect to receive it?,EN,checked,Business,Seniors (including OAS / GIS / CPP)
support for people who do contract work to provide help to seniors,EN,checked,Business,"Essential services and frontline workers, Employees / job seekers / seasonal / gig / self-employed"
I want to set up direct deposit for the CERB money,EN,checked,Business,Direct deposit and banking
rules for care givers to work in long term facilities,EN,checked,Business,Government strategy / guidance
"Couldn’t find anything to help seniors who have had no income since the 15 wk disability ran out.  Applied for employment insurance right after and have still not heard anything from them, that was the end of March.  We have used up all of our RRSP’s and savings to pay mortgage and bills.  HELP!!!!",EN,checked,Business,"Seniors (including OAS / GIS / CPP), Disabilities allowance"
I want to apply for child's passport,EN,checked,Business,Travel and immigration (to Canada / within / leaving Canada / loans / quarantine)
I need report the HST for tje month April to June,EN,checked,Business,Taxes (Income/ GST / HST)
"My sister, on a visit to Canada, needs a covid 19 clearance certificate so she can travel back to Dubai. Where can she get the clearance so she she will be allowed entry in the U. A. E. ",EN,checked,Business,Travel and immigration (to Canada / within / leaving Canada / loans / quarantine)
If I was on cerb waiting for my employer to open back up but I found another job worked first shift and found out it was way to physically hard . Could I go back on cerb,EN,checked,Business,CERB
If I was on cerb waiting for my employer to open back up but I found another job worked first shift and found out it was way to physically hard . Could I go back on cerb,EN,checked,Business,
Who should visit Canada at this time,EN,checked,Business,Travel and immigration (to Canada / within / leaving Canada / loans / quarantine)
I just needed help how to submit my weekly report but did something wrong cant get back to it now it has been almost weeks and i need help so badly,EN,checked,Business,EI and internet reporting
Looking for risk factor recognition,EN,checked,Business,
Looking for risk factor recognition,EN,checked,Business,
Looking for risk factor recognition,EN,checked,Business,Feedback unclear
How to apply for the Temporary wage top up for low income essential workers,EN,checked,Business,Essential services and frontline workers
What about people who are on disability?,EN,checked,Business,Disabilities allowance
Soutien études secondaires,FR,checked,Business,Students / CESB / CSSG
J’aimera Obtenir le numéro sans frais pour effectuer un changement d’adresse pour recevoir mon aide Prestation d’urgenice Canadienne. Merci,FR,checked,Business,Contact someone / get address
Je trouve pas comment faire une demande d'aide,FR,checked,Business,Individual support (help finding support / other benefits / personal finances)
I want to apply to my old claim,EN,checked,Business,EI and internet reporting
ei claim,EN,checked,Business,EI and internet reporting
I want to know what I need to do to continue receiving EI but not CERB payments?,EN,checked,Business,EI and internet reporting
I want to full out a EI application,EN,checked,Business,EI and internet reporting
"why do we see a drop in pension now
",EN,checked,Business,Seniors (including OAS / GIS / CPP)
"I need more info on whether I qualify. Need a number to speak to someone
",EN,checked,Business,Contact someone / get address
"There is no mention of arts / entertainment / service individuals who have lost everything during the crisis. Additionally, CERB for Toronto / Vancouver residents appears to just be landlord support. Since, once I’ve paid rent I’m left with $200 to eat and live...",EN,checked,Business,"CERB, Landlords and tenants (Rent / evictions / CECRA), Employees / job seekers / seasonal / gig / self-employed"
"There is no mention of arts / entertainment / service individuals who have lost everything during the crisis. Additionally, CERB for Toronto / Vancouver residents appears to just be landlord support. Since, once I’ve paid rent I’m left with $200 to eat and live...",EN,checked,Business,
"À qui de droit, j'ai vendu mon duplex en 2019. À la suite du plus value ma pension de sécurité de vieillesse a été coupée à 100%. Il me reste mon RRQ de $850,95 et une pension de $141,11 mensuellement. J'ai 77 ans , je ne travaille pas, donc ce revenu de 2019 ne se reproduira pas en 2020. Merci.",FR,checked,Business,Seniors (including OAS / GIS / CPP)
"re the $300 paid to seniors I am 66, for eligible for CPP and OAS but have delayed receiving them. I have not received the $300 payment.",EN,checked,Business,Seniors (including OAS / GIS / CPP)
Looking to see if there is any support for ppl on workers compensation?,EN,checked,Business,"Individual support (help finding support / other benefits / personal finances), Employees / job seekers / seasonal / gig / self-employed"
Regular EI not able to log in?,EN,checked,Business,Accounts (My Service Canada Account / CRA My Account / SIN)
"It states in  these regulations that guaranteed income supplement will be assessed based on income tax returns filed but due to  Covid no changes will be made to individual GIS until OCt 1, 2020, but i received a letter July 30 saying my inncome tax return was not received so I can not received the ",EN,checked,Business,"Taxes (Income/ GST / HST), Seniors (including OAS / GIS / CPP)"
am looking for the payroll deductions online calculator,EN,checked,Business,Business (financial support / reopening /  PPE / requirements)
Can I call the office with help questions for the CEBA forms,EN,checked,Business,"CEBA, Contact someone / get address"
I did not receive the 200$ home school support for my daughter that I was entitled to,EN,checked,Business,Individual support (help finding support / other benefits / personal finances)
Ei benefits,EN,checked,Business,EI and internet reporting
"Want to pay my income tax return I owe.
Can you write a cheque ? to?    I tried online but to not have the set up you require.",EN,checked,Business,Taxes (Income/ GST / HST)
Disability tax credit,EN,checked,Business,Disabilities allowance
Je n'est plus le droit au chômage car j'ai écoulé mes semaines j'ai parlé avec un agent du chômage elle m'a dit de faire une demande de la PCU mais la j'essaie de remplir la formule et sa fonctionne pas pouvez-vous m'aider merci,FR,checked,Business,CERB
What about seniors.we are really struggling .The cost of food has gone up so much.sk power up sasktel up saskenergy up,EN,checked,Business,Seniors (including OAS / GIS / CPP)
A quelle adresse dois-je poster mes certificats de maladie rempli par mon médecin?,FR,checked,Business,Contact someone / get address
Présentation Pitre,FR,checked,Business,Essential services and frontline workers
"Hartford Courant

Donna Scalla bowed to grab an empty container of most grab petrol which usually rolled nearly the lady feet, The gas' stinky reek terminated in mid-air.

frontward she could see a brand of arkansas country wide Guardsmen complex towards the crest of blanket mountain alongside T",EN,checked,Business,
I'm on disability and it's been a long term effects of chronic fatigue and chronic pain that has worsened by the covid19's infectious desease and it's not just about the money and I'm feeling pretty confused about the coronavirus and it's drained economics of my family and is hard to Buy essential😷,EN,checked,Business,Disabilities allowance
no point then in talking to you...,EN,checked,Business,
no point then in talking to you...,EN,checked,Business,
"Black Women Face Double splendour

HAVANA, Sep 21 2010 (insolvency practitioners) Cuban for women who live to work twice as hard as men to get ahead in their careers. But things are even more difficult for black women in Cuba, Although elegance by reason of gender or skin colour is prohibited by l",EN,checked,Business,
Les femmes congé maternité,FR,checked,Business,Employees / job seekers / seasonal / gig / self-employed
"Think Like a woman

I lately studied Bob Harvey's newsletter ""work like a Lady, Think getting a Man"" And to say the least, I was quite relieved. He would not get it 100% but he came near, I'll give him 90%, not any, a new good 87%. I'm doing that mainly because, very well, since. grin

in any ev",EN,checked,Business,
Contact for CEBA loan,EN,checked,Business,"CEBA, Contact someone / get address"
What is the program providing 75per cent of a persons wages while protecting their pensions?,EN,checked,Business,CEWS
Pret 40 000.$,FR,checked,Business,CEBA
I'm a senior citizen & am raising my granddaughter in her teens & she is at home & no school due to the covid. Am I entitled to the cerb & will it affect my old age pension?,EN,checked,Business,CERB
Applying for CEBA. Banks and Credit Unions have been set up as intermediaries. We need a direct number to the CRA to help the computer illiterate  submit the application form and necessary supporting documents.,EN,checked,Business,"Contact someone / get address, CEBA"
I am trying to find the CERB application.,EN,checked,Business,CERB
Have  to take a  leave  from  work  to watch  my grandchild  so his mother  can  return to  work,EN,checked,Business,EI and internet reporting
"Death
",EN,checked,Business,
Are there free eyeglasses now for seniors?,EN,checked,Business,Seniors (including OAS / GIS / CPP)
Is there financial support for someone who has to stop work for awhile because of treatments for health .,EN,checked,Business,Individual support (help finding support / other benefits / personal finances)
Si je travaille au salaire minimum j'ai tu droit a un suplément.,FR,checked,Business,Essential services and frontline workers
Who do you call if you have not had the GIS Covid payment deposited in your account,EN,checked,Business,Seniors (including OAS / GIS / CPP)
Formulaire pour des locataire qui ne paye pas le loyer,FR,checked,Business,Landlords and tenants (Rent / evictions / CECRA)
$600 pandemic relief for Canada Pension Plan for Disabilities issue date.,EN,checked,Business,Disabilities allowance
I MADE A MISTAKE WHILE SUBMITTING A REPORT FROM MAY 23 TO JUNE 6,EN,checked,Business,Contact someone / get address
I am on the cpp disability pension and my husband and I have the disability tax credit applied to out taxes every year but I have not recieved my one time payment for disabled people from covid and since my husband lost his job during all this we could really use that money is there a application fo,EN,checked,Business,Disabilities allowance
Any help for individual with disabilities receiving benefit from health insurance,EN,checked,Business,Disabilities allowance
How do you apply for Disabilty 600.00,EN,checked,Business,Disabilities allowance
Que faire si je n’ai pas reçu le 300 dollars destiné aux aînés?,FR,checked,Business,Seniors (including OAS / GIS / CPP)
When is the payment for people with disabilities being paid,EN,checked,Business,Disabilities allowance
"Bonjour, je suis handicapé Depuis 2010 en raison d’une stomie (cancer colorectal)et je voudrais savoir quoi faire pour recevoir
mon 600$ pour personnes handicapées. Merci
####@####.#### ou# ### ### ###",FR,checked,Business,Disabilities allowance
It says there is an one time payment for people on disability and have the disbility credit with the CRA.  I have it but didnt receive it,EN,checked,Business,Disabilities allowance
"where do I submit forecast of non defer able expenses after applying for $40,000 loan
",EN,checked,Business,CEBA
My VanCity Credit Union Bank tell me that this BN #### ### ###RP001 is not registered.,EN,checked,Business,Direct deposit and banking
"My question was  when is government going to help us on disability.  Lots of promising but all talk nothing to help. I make lest then people on welfare.. I worked most of my life to go from a noce income to less the quarter, is sad at the greatest degree. Just give us a date that we can look forward",EN,checked,Business,Disabilities allowance
Before I went on my old age pension I was collecting a federal disability pension. I think that I am eligible for an extra $100.00 benefit. But I don't know where to apply for it.,EN,checked,Business,"Disabilities allowance, Seniors (including OAS / GIS / CPP)"
"resp
",EN,checked,Business,Individual support (help finding support / other benefits / personal finances)
Phone number,EN,checked,Business,Contact someone / get address
One time payment of $600  for people with disability,EN,checked,Business,Disabilities allowance
"I don’t have a place for quarantine. Currently I’m hotel. But it’s more expensive and I’m looking for small,safer and cheaper place. Could u help me",EN,checked,Business,Travel and immigration (to Canada / within / leaving Canada / loans / quarantine)
looking for info on how to apply for disability covid amount based on VAC credited disability,EN,checked,Business,"Disabilities allowance, Audiences (Veterans / Indigenous people / Industry)"
"Notary Services
",EN,checked,Business,Feedback unclear
"single men and women online dating sites end up being pouring blokes

rather than weight lifting who seek masculine soulmates to receive near future bonds show the end give out in that quite a few sold men interested in this also version of relationship are a rare type.

other to be sure it has ",EN,checked,Business,
Where is the financial help for June 2019 grade 12 graduates who had not gotten a job right out of Highschool? Because they were at home assisting both parents that were going through cancer!,EN,checked,Business,Students / CESB / CSSG
Do you need to apply for the one-time payment for Canada pension disabilities one time payment?,EN,checked,Business,Disabilities allowance
"comment proceder ^pour le 600 pour personne andicaper
",FR,checked,Business,Disabilities allowance
"J'ai 63 ans et cardiaque, bronchite chronique . je suis sur l'aide social j'ai élever 5 enfants et aujourd'hui a cause de mon état de santé je ne peut travailler comme je veut et ou je veut du a ma condition de santé et mon age . AIDE SOCIAL AUCUNE AIDE.",FR,checked,Business,Seniors (including OAS / GIS / CPP)
How to receive one time disability benefit included in bill C-20,EN,checked,Business,Disabilities allowance
Wondering when the one time payment for disabled seniors is payable.,EN,checked,Business,Disabilities allowance
Mon patron m'a arrêté de travailler parvenue je suis cardiaque arrêté depuis 4 mois j'ai la pcu jusqu'au 6septembre,FR,checked,Business,CERB
my husband is my only care giver is he entitled to a tax  break,EN,checked,Business,Individual support (help finding support / other benefits / personal finances)
Is new visa for Canada for job available right now?,EN,checked,Business,
Is new visa for Canada for job available right now?,EN,checked,Business,Travel and immigration (to Canada / within / leaving Canada / loans / quarantine)
"changement d,adresse
",FR,checked,Business,Contact someone / get address
pass ward,EN,checked,Business,Accounts (My Service Canada Account / CRA My Account / SIN)
when will individuals with cpp disablity pension receive the 600.00 payment,EN,checked,Business,Disabilities allowance
When will the $600 disiability one time payment be deposited,EN,checked,Business,Disabilities allowance
$600 for people with disabilities,EN,checked,Business,Disabilities allowance
I have a valid DTC certificate but have not received my one time payment of $600. How to I get that payment?,EN,checked,Business,Disabilities allowance
Your virtual assistant is not working!  Can’t type in question.,EN,checked,Business,Design / content / virtual assistant
Jai besoin de savoir comment m’inscrire au dépôt direct,FR,checked,Business,Direct deposit and banking
How do I access the 600 dollar disability amount,EN,checked,Business,Disabilities allowance
god damn number fro the cerb office,EN,checked,Business,Contact someone / get address
My sole proprieter business is only making 20% of what it used to before the pandemic.  What assistance do I have?,EN,checked,Business,Business (financial support / reopening /  PPE / requirements)
"looking for form isp3550 and form isp1640
",EN,checked,Business,Seniors (including OAS / GIS / CPP)
Je désirais savoir si la subvention des loyers commerciaux va se prolonger en aout?,FR,checked,Business,Landlords and tenants (Rent / evictions / CECRA)
Because of my disabilities I was unable to get proper help and it has caused me so much suffering!,EN,checked,Business,Disabilities allowance
I want to know when peoples with disability will get $600 payment?,EN,checked,Business,Disabilities allowance
lost my access code,EN,checked,Business,Accounts (My Service Canada Account / CRA My Account / SIN)
Est ce que le prolongement du supplément de la pension des aines aura lieu si oui nous dire quand merci nequcoup,FR,checked,Business,Seniors (including OAS / GIS / CPP)
Wondering if the rent subsidy for small businesses has been extended to August,EN,checked,Business,Landlords and tenants (Rent / evictions / CECRA)
I am the E.D. of a charity and have students volunteers helping me out over the summer. I understand there is a program where the hours they have volunteered can be converted into credits towards their tuition. How do I make sure they get credited?,EN,checked,Business,Students / CESB / CSSG
my bank is asking to see my cerb application to approve my mortgage deferral ...how do i get a copy of that...and are they aloud to ask for that???,EN,checked,Business,"CERB, Direct deposit and banking, Individual support (help finding support / other benefits / personal finances)"
what is CANADA FED/FED?,EN,checked,Business,Feedback unclear
jai fait une demande pour la pcu et je ne suis pas sure je ne veut pas frauder s v p parler moi au# ### ### ###,FR,checked,Business,CERB
"support for individuals
",EN,checked,Business,Individual support (help finding support / other benefits / personal finances)
I am looking for a service canada contact number to report regarding an anonymous call to access personal information,EN,checked,Business,Contact someone / get address
Mon papa il acheté un véhicule au credit ford la mon neveux occupait son grand pere il avait optenu un message qu il allait commencé a payez dans 3 mois pi la c est autre chose il se fait demandé de ramené le vehicule et la caisse n etait ouvert pendant le confinement pour acces d son specimen de ch,FR,checked,Business,Feedback unclear
"Bonjour

je cherche de l’information concernant l'aide aux entreprises pour les baisses de revenu des entreprises suite à la pandémie de COVID.
Merci
François Dyotte
# ### ### ###",FR,checked,Business,CEWS
Need information on commercial rent - deferrals and assistance to landlords,EN,checked,Business,Landlords and tenants (Rent / evictions / CECRA)
Je veux savoir si je suis illigible,FR,checked,Business,Feedback unclear
le sujet copure de mon suplement garanti de revenu du penssion de retraite,FR,checked,Business,Seniors (including OAS / GIS / CPP)
le sujet copure de mon suplement garanti de revenu du penssion de retraite,FR,checked,Business,
"If you only have to have one of the pensions or DTC for the one time disability payment why is it going to be so long coming.  As long as people have the info it should come right away.  There are a lot of people cash strapped.
",EN,checked,Business,Disabilities allowance
600 for veterans with disabilities,EN,checked,Business,"Disabilities allowance, Audiences (Veterans / Indigenous people / Industry)"
Numéro pour parler à un agent pour COVID 19,FR,checked,Business,Contact someone / get address
Impossible de trouver des réponses à nos questions concernant la CUEC. Il n'y a aucun numéro de téléphone de parler avec un agent afin de répondre à nos questions.,FR,checked,Business,CEBA
"HOW TO APPLY, button, for next month pay C.E.R.B.
BM
# ### ### ###",EN,checked,Business,CERB
"réactiver une demande d'assurance emploi pour maladie
",FR,checked,Business,EI and internet reporting
"applying online for wage subsidy after source remittance completed
",EN,checked,Business,CEWS
bénéficie de PCU fraudeleusement,FR,checked,Business,CERB
"I am wondering if my grand daughter will get the disability money. She has adhd and fasd .  She is only 14 and I saw mention of 15 in one of the government announcements. If she is, when would that be?",EN,checked,Business,Disabilities allowance
"wellness Resolutions for a Healthy Chinese New Year

how's it spent?

Brace yourself and i'm going to take you to a wonderful 15 day <a href=https://www.bestbrides.net/6-reasons-why-chinese-women-want-to-date-western-men/>gifts for chinese woman</a> adventureThe first day in the Chinese New Year",EN,checked,Business,
"Who qualifies for one time payment for those with a disablilty, and when will it be paid",EN,checked,Business,Disabilities allowance
How do I apply for CEBA,EN,checked,Business,CEBA
How can I amend our submiitted application family forms for SIN number as pr newcomers and recheck it before issuing card?,EN,checked,Business,Accounts (My Service Canada Account / CRA My Account / SIN)
Change of address,EN,checked,Business,Contact someone / get address
i did not apply for my aacount on service canada can you please have my account revoked,EN,checked,Business,Accounts (My Service Canada Account / CRA My Account / SIN)
I specifically wanted to know when the new calculation sheet would be avaliable,EN,checked,Business,CEWS
Besoin de parler à un agent pour la pcu le numéro est 1_833-????,FR,checked,Business,Contact someone / get address
"As an owner of a building that we rent out, can we apply for cedar and the 40,000.",EN,checked,Business,CEBA
Soutiens aux ainées personne avec un handicap,FR,checked,Business,"Disabilities allowance, Seniors (including OAS / GIS / CPP)"
Je veux réactiver ma demande d'assurance emploi,FR,checked,Business,EI and internet reporting
Open restaurant and bars for inside dining  and the Congress centres with clear giddiness. Lot of people a working on these industries.,EN,checked,Business,
Open restaurant and bars for inside dining  and the Congress centres with clear giddiness. Lot of people a working on these industries.,EN,checked,Business,Government strategy / guidance
"CEWS
",EN,checked,Business,CEWS
"Funds for health care workers, about $1,300 as promised.",EN,checked,Business,
"Funds for health care workers, about $1,300 as promised.",EN,checked,Business,Essential services and frontline workers
My pension is being garnished. I'm left with 11 $ to function. What am I supposed to do. Become homeless n beg .I worked in Canada for 35 yrs just one misunderstanding with the tax people being penalised. Hope that drop all the garnished amount as I use to own a small business on my name but it got,EN,checked,Business,Seniors (including OAS / GIS / CPP)
Payroll support for small business,EN,checked,Business,CEWS
je vousdrais savoir pour nontre pansion si on v avoir plus sa serait le temps,FR,checked,Business,Seniors (including OAS / GIS / CPP)
"No me ha llegado el permiso de trabajo
",EN,checked,Business,Travel and immigration (to Canada / within / leaving Canada / loans / quarantine)
"What is the government doing for people


able to find a job



What is the government doing for peop,e who have no job?",EN,checked,Business,Individual support (help finding support / other benefits / personal finances)
A quant la prestation pour personne handicape,FR,checked,Business,Disabilities allowance
What about people on social assistants .We dont matter or what,EN,checked,Business,Individual support (help finding support / other benefits / personal finances)
jje dérige une organisme a but non lucratif et doit payer un loyer un montant de 2000.00$ est dû pour 2020. Vue la covid -19 c'est impossible de faire un levé de fond. Est-ce que l'ont pourait avoir une aide fédéral . Merci!,FR,checked,Business,Landlords and tenants (Rent / evictions / CECRA)
I’m trying to find out if people on cpp-d are entitled to any of the emergency benifits and where to apply,EN,checked,Business,Seniors (including OAS / GIS / CPP)
How to apply,EN,checked,Business,Feedback unclear
ETA,EN,checked,Business,Feedback unclear
"I am a landlord whose tenants are requesting for a reduction in rent due to covid reduction in salary. The tenants are not Canadian so do not qualify for any fed or provincial financial assistance. Please post ""information for landlords"" thank you",EN,checked,Business,Landlords and tenants (Rent / evictions / CECRA)
I’m looking to see if my application was excepted as I have applied with no response,EN,checked,Business,Feedback unclear
"Our Government refuses to increase ODSP Income or providing extra during this time and it is just terrible.
",EN,checked,Business,Disabilities allowance
"PWD BC recipient additional benefits
",EN,checked,Business,Disabilities allowance
I applied for EI around March 20th and was placed on CERB.  Will i automatically be switched to EI when CERB runs out if i'm not back to work by then?,EN,checked,Business,"EI and internet reporting, CERB"
Just inquiring my wife has tax disability and she hasn't  received anything,EN,checked,Business,Disabilities allowance
Formulaire de réclamation de $300. Pour retraités du au corona virus.,FR,checked,Business,Seniors (including OAS / GIS / CPP)
How do I apply for the one time $600 disability Covid benefit. I have a DYC,EN,checked,Business,Disabilities allowance
Local trades and labour society is having difficulty paying taxes and utilities as the renters are not paying due to COVID 19. Is there funding available?,EN,checked,Business,Landlords and tenants (Rent / evictions / CECRA)
"I own my own business and it’s looking like it won’t reopen till May 2021  .I have a home with a mortgage and some credit card debt, I’m 57 and I am looking for work for the first time in 27 years.After Cerb is there a loan or some kind of financial help I hate to lose my home with 2years left to pa",EN,checked,Business,Business (financial support / reopening /  PPE / requirements)
Is there any financial assistance  for Senior Friendship Centres. We are a nonprofit organization. Our centre was shut down  with no income coming in but the Bills still came and had to be  paid. Financial  aide would really be appreciated.,EN,checked,Business,Nonprofit / community support
Étant prestataire de l’Aide Sociale (63ans/7mois) vais~je recevoir une prestation bonifiée supplémentaire du Fédéral comme au printemps dernier?–À quoi bon de Vs écrire ici si je ne recevrai aucune réponse de votre part ça ne m’avancera pas ni aidera??? Voici mon courriel👉🏼####@####.####👈🏼,FR,checked,Business,Seniors (including OAS / GIS / CPP)
"on ODSP

I OWN A HOUSE

I AM LOOKING FOR SUPPORT
TO KEEP IT",EN,checked,Business,Disabilities allowance
When do the disability covid cheque’s come,EN,checked,Business,Disabilities allowance
When do the disability covid cheque’s come,EN,checked,Business,Disabilities allowance
Quand est dû le prochain dépôt pour la PCU,FR,checked,Business,CERB
Etgtgtgtftgtgtvybubinm,EN,checked,Business,
Etgtgtgtftgtgtvybubinm,EN,checked,Business,
"I was eligible for OAS as  of June 6, 2020 but did not receive the senior's one time payment of $300 from the federal gov't. Why not? ",EN,checked,Business,Seniors (including OAS / GIS / CPP)
When will the payment for those with a valid DTC be deposited or mailed?,EN,checked,Business,Disabilities allowance
What are the dates for applying for CEWS,EN,checked,Business,CEWS
Remettre de l’argent revenant aux personne avec la pension de vieillesse,FR,checked,Business,Seniors (including OAS / GIS / CPP)
Je suit sur laide sociale jetais engagée pour aller travailler dans les hôpitaux mais deux jours avant de commencer mon travail je me suit casse la jambe a deux endroits avec 2 opérations je nais plus assez de revenus rencontrés mais payement ?,FR,checked,Business,Individual support (help finding support / other benefits / personal finances)
I want to file get return for second quarter,EN,checked,Business,Feedback unclear
Cra login,EN,checked,Business,Accounts (My Service Canada Account / CRA My Account / SIN)
"hst appication
",EN,checked,Business,Taxes (Income/ GST / HST)
"cews
",EN,checked,Business,CEWS
Je veux accder au portail puisque j'ai un numéro d'utilisateur,FR,checked,Business,Feedback unclear
Paiement unique non imposable aux individus ayant un certificat valide pour le crédit d’impôt pour personnes handicapées La date de ce versement?,FR,checked,Business,Disabilities allowance
"jedoit obtenir un code a 4 chiffres........
pour assurance chomage
",FR,checked,Business,"EI and internet reporting, Accounts (My Service Canada Account / CRA My Account / SIN)"
People with disabilities.  Any extra money?,EN,checked,Business,Disabilities allowance
"Payment date for disability tax credit Covid
",EN,checked,Business,Disabilities allowance
Je reçois de l'assurance emploie de votre part qui se termine le 23 Octobre 2020 mais j'aimerais faire un retour à l'école et ce pour une période de 8 mois (Mai 2021). Est-ce que vous pourriez continué à me payer mes prestations ?,FR,checked,Business,"EI and internet reporting, Students / CESB / CSSG"
Looking for information on the fish harvester grant.,EN,checked,Business,Employees / job seekers / seasonal / gig / self-employed
Disability Tax Credit for Veterans receiving a disability pension,EN,checked,Business,"Disabilities allowance, Audiences (Veterans / Indigenous people / Industry)"
Demande pour appelé PCU,FR,checked,Business,CERB
Incapable d’avoir la ligne depuis presque debut juillet j’ai une demande en attente... à cause que je me suis inscrit à dépôt direct,FR,checked,Business,Direct deposit and banking
"incroyable et aussi très compliqué, en plus nous ne pouvons vous rejoindre au téléphone, Vive les nouvelles technologies.
",FR,checked,Business,Contact someone / get address
No information for health care workers especially regarding the pandemic pay bonus!,EN,checked,Business,Essential services and frontline workers
remplir une nouvelle demande de prestation reguliere,FR,checked,Business,EI and internet reporting
I was wondering when the $600 disability payments will be issued,EN,checked,Business,Disabilities allowance
im look to apply for EI,EN,checked,Business,EI and internet reporting
When will people who get the disability tax credit get the 600$ payment for covid assistance,EN,checked,Business,Disabilities allowance
Problem with my oas payment,EN,checked,Business,Seniors (including OAS / GIS / CPP)
"Dépôt direct pour pension de vieillesse
",FR,checked,Business,"Direct deposit and banking, Seniors (including OAS / GIS / CPP)"
Special one-time tax-free payment for certified holders of the Disability Tax Credit,EN,checked,Business,Disabilities allowance
When are people with disabilities getting their COVID paiement,EN,checked,Business,Disabilities allowance
Is the CERB requirement for salary less then $1000 apply to March?,EN,checked,Business,CERB
Want information on why I did not receive my oas,EN,checked,Business,Seniors (including OAS / GIS / CPP)
What is the date for the Disability one time payment,EN,checked,Business,Disabilities allowance
ma pensions de viellesse a diminuer,FR,checked,Business,Seniors (including OAS / GIS / CPP)
depot direct,FR,checked,Business,Direct deposit and banking
I lost my job because of cerb,EN,checked,Business,CERB
How do I submit reports for CERB,EN,checked,Business,"EI and internet reporting, CERB"
appelr,FR,checked,Business,Feedback unclear
I need to find the tax slip verifying GIS for 2019. I found the CPP and OAS . can you tell me where to find it please.,EN,checked,Business,"Taxes (Income/ GST / HST), Seniors (including OAS / GIS / CPP)"
when is period 6,EN,checked,Business,CERB
"Ma pension de vieillesse et mon supplement de revenue guarantie a baisses de $207.00, et j'aimerais bien savoir pourquoi et pour qu'elle raison pour le mois de juillet 2020?",FR,checked,Business,Seniors (including OAS / GIS / CPP)
"Hi, I need to speak to someone about my EI , thank you",EN,checked,Business,EI and internet reporting
"Comment téléversées les document pour le programe CUEC
",FR,checked,Business,CEBA
When is the disability $600 going to be issued,EN,checked,Business,Disabilities allowance
How to retrieve a social insurance number,EN,checked,Business,Accounts (My Service Canada Account / CRA My Account / SIN)
When will the on time payment for people with a certified disability tax credit available?,EN,checked,Business,Disabilities allowance
"Je suis isolé a la maison deouis le 22 juillet jusqu au 21 inclusivement j aile droit a la pcu sij ai tjrs travailler .
",FR,checked,Business,"Employees / job seekers / seasonal / gig / self-employed, CERB"
"I have to change my banking information ,as my bank account has been hacked. ",EN,checked,Business,Direct deposit and banking
When will the DTC holders recieve their $600?,EN,checked,Business,Disabilities allowance
I am trying to find a contact to determine why the $300.00  payment was not deposited to my account.,EN,checked,Business,Seniors (including OAS / GIS / CPP)
when will the one time DTC benefit be given,EN,checked,Business,Disabilities allowance
"Pourquoi, pour les gens sur l'aide sociale n'ont pas de bonification ? J'ai 64 ans, je fais de l'emphysème et j'ai été opérée pour un cancer du poumon. J'ai dû prendre l'aide sociale, mais avec les prix qui augmentent partout, je n'y arrive plus !
",FR,checked,Business,EI and internet reporting
J'essaie de rejoindre Assurance Emploi depuis quelques semaines.  J'ai reçu un premier paiement du programme d'urgence,FR,checked,Business,EI and internet reporting
Quand le dépôt direct de 600 dollars sux personnes Handicapées inscrit aux CIPH,FR,checked,Business,Disabilities allowance
"Frontline workers benefits, when can get or receive?",EN,checked,Business,Essential services and frontline workers
work from home job bank,EN,checked,Business,Employees / job seekers / seasonal / gig / self-employed
Programme pilote d'immigration canada atlantique,FR,checked,Business,Travel and immigration (to Canada / within / leaving Canada / loans / quarantine)
Programme pilote d'immigration canada atlantique,FR,checked,Business,Travel and immigration (to Canada / within / leaving Canada / loans / quarantine)
pourquoi avoir baisser le montant de retraite des ainés ( es ),FR,checked,Business,Seniors (including OAS / GIS / CPP)
I am a senior eligible to receive OAS and GIS and have not received $300 senior relief.,EN,checked,Business,Seniors (including OAS / GIS / CPP)
My Service Canada not visible,EN,checked,Business,Accounts (My Service Canada Account / CRA My Account / SIN)
