Problem Details,Date Entered,group
"If this has adverse long term effect, to just report it, does nothing for my health",2020-12-11,Is the covid vaccine mandatory for health workers  and long term home residents ?
I want to know which vaccines that Canada will buy are mRNA vaccines,2020-12-11,Which vaccines are mRNA
No data from trials of vaccine on effects on fertility,2020-12-12,Vaccine is safe and effective on what grounds? No supporting evidence.
The ingredients and process of making the vaccine  was left out I find that to be one of the most important parts and should be added thank you,2020-12-13,The ingredients and process of making the vaccine  was left out I find that to be one of the most important parts and should be added thank you
I wanted the name(s) of mRNA covid vaccines only - not details on how the vaccine works.  Google is becoming increasingly useless.,2020-12-14,I want to know the ingredients in the Covid-19 vaccine.
RNA given instructions to make covid protein which you say is found on the surface of virus. Info vague as sounds like you inject small amount of the virus and HOPE our immune are strong enough to deal with it. So not clear something foreign injected or part of the actual virus.,2020-12-14,The ingredients and process of making the vaccine  was left out I find that to be one of the most important parts and should be added thank you
The complete list of ingredients for the vaccination needs to be made available. Thank you.,2020-12-14,Need the list of ingredients in the vaccine.
Where are the side affects?,2020-12-14,What are the side effects?
Which vaccines are mRNA,2020-12-15,Which vaccines are mRNA
Is the protein egg,2020-12-16,What is the ingredients?
trying to find out when I can get the immunization---I live in Chatham kent and work for VON taking care of vulnerable sector persons,2020-12-17,I’m a Senior and want to know when I can get the Vaccine-and where
"I want a direct link to the mild to adverse reports database with an ability to create graphs from the real time updated database of reports.  Also, “strongly encouraged” to report side effects = passive reporting to no reporting.  Thus, seriously underreported side effects, especially so long term.",2020-12-17,List of side effects
"Hi, I am a Limb girdle muscular dystrophy (LGMD) I know this kind disease dos'n make spick protein in chromosomes ( spell mistake) so far covid-19  make spick protein this is totally opposite. In Canada thousand of people suffering in (MD).I Covid-19 vaccine it's good or bad. ####@####.####",2020-12-17,What is in this vaccine ???
"Can the messengerRNA in mRNA vaccines be reverse transcribed in humans vaccinated, and spike protein DNA sequence(s) then be integrated into mitochondrial or nuclear DNA ? Cellular co-infection with a non-SARS-COVID-19 other virus (symptomatic or otherwise) increases risk of novel infection process",2020-12-18,Other vaccines
Test from Penny. English DEV page,2020-12-11,Test from Penny. English DEV page
Test from Penny. English LIVE page,2020-12-11,Test from Penny. English LIVE page
Vaccine is safe and effective on what grounds? No supporting evidence.,2020-12-17,Vaccine is safe and effective on what grounds? No supporting evidence.
"How does the vaccine work?  Once vaccinated, can I still spread Covid-19 to others?",2020-12-17,Does the vaccine contain penicillin?
Can breast-feeding mothers get the vaccines?,2020-12-17,where do i go to get the vaccine
What is the screening questions that are asked prior to getting the Covid-19 vaccine,2020-12-17,What is the ingredients?
"I am 79 years old. I don’t know when, where and how I can get the vaccine",2020-12-17,I’m a Senior and want to know when I can get the Vaccine-and where
"How to register or get on a list for the vaccine. I am immune compromised 61 yr old, my husband is immune compromised 74 yr old we live on Vancouver Island.",2020-12-17,Looking for when we will know more about safety for immune compromised people over 55 years old? Should we get the vaccine?
I want to know what qualifications a person needs to administer the covid vaccine,2020-12-17,I want to know the ingredients in the Covid-19 vaccine.
Looking for all ingredients on box of vaccine for covid,2020-12-18,Who cannot take the vaccine for COVID 19
Is your rationale for immunization based on who is more likely to die or who is more likely to spread it to others?,2020-12-18,I would like to know the two locations where the immunization will take place. I also would like to know id the Moderna Vaccine will be given by pharmacies like the regular flu shots?
I want to know about the vaccine. I want details of how it works and any side effects,2020-12-18,I want to know the ingredients in the Covid-19 vaccine.
who should not get vacinated,2020-12-18,who should not get vacinated
Unable to have flu shot because of GBS can I have covid shot,2020-12-18,Who can have the vaccine
I am 69 and 1/2 years of age. Ism an immunocompromised type 1 diabetic . A virus attacked my pancreas at age 57. I am also a casual RN in an oral surgery office. Do I qualify for the vaccine? And at what phase. ?,2020-12-19,I’m a Senior and want to know when I can get the Vaccine-and where
Hoe long does the immunity last?,2020-12-19,How long the vaccine lasts
Ingredients not here,2020-12-19,Something is not right to me here..........??????
Can you still get the vaccine if you have been tested positive?,2020-12-19,Can you still get the vaccine if you have been tested positive?
"There is no information provided for what people with immuno suppressed conditions should do… Transplant recipients, lupus, diabetics, etc. these people would die if they got Covid… So there is no information telling these people and groups what to do.",2020-12-19,"There is no information provided for what people with immuno suppressed conditions should do… Transplant recipients, lupus, diabetics, etc. these people would die if they got Covid… So there is no information telling these people and groups what to do."
"i want to know about if a person that has a medical condition involving their breathing and lungs ( like COPD, Etc) arent they considered under the High Risk Category? and if so then why arent they getting included with the early shipments and how does the government know who they are?",2020-12-19,I’m a Senior and want to know when I can get the Vaccine-and where
I wanted to know with health issues where in line would i be,2020-12-19,I want to know the ingredients in the Covid-19 vaccine.
Want info on other vaccines that are coming,2020-12-19,Other vaccines
Modern info and when am I going to get a vaccine 63 retired person,2020-12-19,where do i go to get the vaccine
Something is not right to me here..........??????,2020-12-19,Something is not right to me here..........??????
There is no mention of vaccination for chronically ill people. I'm immunocompromised from the treatment of rheumatoid arthritis.,2020-12-19,"In the section on who will receive the vaccine, there is no mention of people who have underlying health issues but who are under the age of 70."
If I take a statin drug can I get the covid 19 shot?,2020-12-19,I’m a Senior and want to know when I can get the Vaccine-and where
Do I need to register. I am 72.,2020-12-19,I need to know the contents of the Pfizer vaccine
dangers associated with the vaccine,2020-12-19,What is in the vaccine
"I don't understand what the vaccine will do to prevent me catching, and/or cure me from it, if i catch the virus",2020-12-19,Do u take it if u have an allergy
"how many vaccinated in 
 canada to date",2020-12-20,How many vaccinations have been given to date? How many vaccines are in there way to Canada? How many vaccines are in Canada? Where can I get a vaccine?
Who cannot be vaccinated eg. Immunocompromised,2020-12-20,Who cannot take the vaccine for COVID 19
Looking for information on the variant strain in the UK,2020-12-20,Looking for information on the variant strain in the UK
Does it affect fertility in young females,2020-12-20,does it have pencilian in it
"In the section on who will receive the vaccine, there is no mention of people who have underlying health issues but who are under the age of 70.",2020-12-20,"In the section on who will receive the vaccine, there is no mention of people who have underlying health issues but who are under the age of 70."
How will vaccine be administered in retirement homes (not LTC) where residents have limited movement ability (ie to hospital) and by whom?  Retirement home medical staff would not be able to store vaccine and/or administer it properly,2020-12-20,I am allergic to penicillin will I still be able to get vaccinated
"When and
 When can we receive the vaccine in AB",2020-12-20,Where and when?
we know the small intestine is the main triger point to kick  in the imunne responce  to build antibodys to kill all these simple helpless viruses  .the problem is covid never reaches this triger point because old people sick people andpeople on certain drugs  are dried out inside  there is not enou,2020-12-20,I want to know the ingredients in the Covid-19 vaccine.
liquid or saiva to wash the covid down the esopius so the helpless lungs are destroyed the coved  finaly enters the blood  the imune system finally kicksin to late the whole body is a pathagen  beacause its in the blood the imunne system will finaly kill the whole body it is in suicide mode  if they,2020-12-20,What is in the vaccine
Looking for vacination sites in lasalle quebec.,2020-12-20,Looking for actual list of what’s in Covid vaccine
if they save you are going to suffer with all the damage done by the imunne system .nature will take care of any viruse as long as it gets in the small bowel i am 72 i feel sorry for the babbys and kids   thier bodys inside and out .there delicate immue are being bombarded with spays and chemicals,2020-12-20,where do i go to get the vaccine
kids could end upwith cancer crhons colitis etc these chemicals may cause these viruses to mutate into sooper viruses . i think i am right  pleasepass this on to some dr who will use  common sense thinking.thanks for  reading pass my letter on  sorry  for the  gaps in my  letter,2020-12-20,I’m trying to find my results from my COVID test.
Should someone who has had covid still get the vaccine?,2020-12-20,should someone who had covid before take a vaccine
Just not clear,2020-12-20,who should not get vacinated
How many doses will  ananda receive by end of 2020?,2020-12-21,How many vaccinations have been given to date? How many vaccines are in there way to Canada? How many vaccines are in Canada? Where can I get a vaccine?
Dont Know the right quistion!,2020-12-21,I want to know the ingredients in the Covid-19 vaccine.
When and how am I notified as a 82 year old senior?,2020-12-21,When and where to get vaccinated?
"When, where and how does one sign up",2020-12-21,Where and when?
